word;translation;sentence;association
calf;икра (мышца голени);I have a cramp in my calf that started during the run.;CALF — телёнок, икры как у молодого телёнка
thigh;бедро;The injection was given in the outer thigh muscle.;THI-GH — мощная часть ноги
forearm;предплечье;She had bruising along the forearm from the IV line.;FORE — перед, ARM — рука, часть руки перед локтем
elbow;локоть;I hit my elbow on the door frame and felt that electric shock sensation.;EL-BOW — локоть как лук (bow) руки
wrist;запястье;My wrist has been sore since I started typing more.;WRIST — звучит как «рист», где носят часы
ankle;лодыжка;She rolled her ankle on the stairs and it swelled up immediately.;ANKLE — звучит как «энкл», узкая часть ноги
heel;пятка;I have a heel spur that makes the first steps in the morning painful.;HEEL — каблук на пятке
sole;подошва стопы;The doctor checked the sole of my foot for any signs of nerve damage.;SOLE — единственная (sole) поверхность, на которой стоишь
kneecap;коленная чашечка;He dislocated his kneecap during a soccer match.;KNEE — колено, CAP — шапочка на колене
palm;ладонь;The doctor asked me to press my palms flat on the table.;PALM — пальма стоит как рука с ладонью вверх
kidney;почка;The ultrasound showed a small stone in the left kidney.;KID + NEY — почки как два маленьких бобовых зерна
liver;печень;Alcohol in large amounts causes serious liver damage over time.;LIVER — живёт (live) в правом боку
bladder;мочевой пузырь;I need to go to the bathroom frequently — the doctor suspects a bladder infection.;BLADDER — пузырь, который раздувается
lung;лёгкое;The X-ray showed a small shadow on the lower lobe of the right lung.;LUNG — лёгкое, звучит как вдох
pancreas;поджелудочная железа;High blood sugar can indicate that the pancreas isn't producing enough insulin.;PAN — сковородка под желудком
gallbladder;желчный пузырь;She had her gallbladder removed after recurring gallstone attacks.;GALL — желчь, BLADDER — пузырь
appendix;аппендикс;He was rushed to the ER with appendix pain — it was appendicitis.;APPENDIX — приложение к кишечнику, без которого можно жить
colon;толстая кишка;A colonoscopy screens for polyps and cancer in the colon.;COLON — двоеточие в животе, разделяет кишечник
thyroid;щитовидная железа;My thyroid levels were off — that explained the fatigue and weight gain.;THYROID — щит-образная железа на шее
tonsils;миндалины;My tonsils were swollen and the doctor prescribed antibiotics.;TONSILS — два миндаля по бокам горла
tendon;сухожилие;He tore the Achilles tendon and needed surgery followed by months of rehab.;TEND — ухаживать, сухожилие соединяет мышцу с костью
ligament;связка;She tore the ACL ligament in her knee skiing.;LIGA — лига связывает команды, связка связывает кости
cartilage;хрящ;The cartilage in his knee had worn down significantly over the years.;CART — тележка скользит по хрящу-рельсу
marrow;костный мозг;The bone marrow biopsy confirmed the diagnosis.;MARROW — мозг внутри кости
disc;межпозвоночный диск;I have a herniated disc in my lower back that causes sciatica.;DISC — диск как прокладка между позвонками
rotator cuff;вращательная манжета плеча;Rotator cuff injuries are common in swimmers and baseball pitchers.;ROTATE — вращает руку, CUFF — манжета на плече
joint;сустав;My joints ache in cold weather, especially the knees and fingers.;JOINT — место соединения, стык
artery;артерия;The surgeon repaired a damaged artery during the procedure.;ART — артерия несёт алое искусство — кровь от сердца
vein;вена;The nurse had trouble finding a vein for the blood draw.;VEIN — вена несёт тёмную кровь обратно
nerve;нерв;The dentist numbed the nerve before drilling.;NERVE — нерв, смелость (nerves of steel)
lymph node;лимфатический узел;The doctor felt swollen lymph nodes in my neck during the exam.;LYMPH — лимфа, NODE — узел-фильтр
capillary;капилляр;Capillaries are so small that red blood cells pass through single-file.;CAPILLARY — капля (cap) крови в тончайшем сосуде
pore;пора (кожи);Hot water opens your pores, cold water closes them.;PORE — пора как маленькая дырочка в коже
mole;родинка;The dermatologist said the mole had irregular edges and should be removed.;MOLE — крот роет под кожей тёмный бугорок
blister;мозоль водяная / волдырь;New shoes gave me a blister on my heel by the end of the day.;BLISTER — пузырь вскипел от трения
bruise;синяк / ушиб;I have a bruise on my arm from bumping into the doorframe.;BRUISE — синий (blue) отпечаток удара
freckle;веснушка;She has freckles across her nose that get darker in the summer.;FRECKLE — маленькие точки-веснушки, как крапинки
