word;translation;sentence;association
thumbtack;кнопка канцелярская;She pinned the map to the corkboard with thumbtacks.;THUMB — большой палец, TACK — прикнопить
binder clip;зажим для бумаг (большой металлический);Use a binder clip to keep all these documents together.;BINDER — скрепляет, CLIP — зажим
rubber band;резинка для скрепления;Put a rubber band around the rolled-up poster so it doesn't unroll.;RUBBER — резина, BAND — полоска
zip tie;стяжка кабельная / хомут;I used zip ties to bundle the cables behind the TV stand.;ZIP — застёгивается намертво, TIE — связывает
wall anchor;дюбель;Without a wall anchor, the screw won't hold in drywall.;ANCHOR — якорь в стене, держит намертво
utility knife;строительный нож / нож с выдвижным лезвием;Score the drywall with a utility knife before snapping it.;UTILITY — универсальный, KNIFE — нож
caulk gun;пистолет для герметика;Seal the gap around the bathtub with a caulk gun.;GUN — пистолет, CAULK — герметик
extension cord;удлинитель;The lamp won't reach the outlet without an extension cord.;EXTENSION — удлинение, CORD — провод
power strip;сетевой фильтр / удлинитель с несколькими розетками;I plugged all my desk devices into one power strip.;POWER — электричество, STRIP — полоска с розетками
insect screen;москитная сетка;Install an insect screen on the window before summer.;INSECT — насекомое, SCREEN — экран-сетка
doormat;коврик у входной двери;Wipe your feet on the doormat before coming inside.;DOOR — дверь, MAT — коврик у порога
umbrella stand;подставка для зонтов;There's an umbrella stand in the hallway — leave your wet umbrella there.;UMBRELLA — зонт, STAND — стойка
